Anonymous/nx	S-nhack
和/cc	O
未知/v	O
地区/n	O
赛门铁克/nt	B-norg
公司/nis	E-norg
披露/v	O
了/ule	O
一个/mq	O
APT/nx	O
组织/n	O
Sauron/nx	S-nhack
，/w	O
又称/gi	O
Strider/nx	S-nhack
，/w	O
无疑/d	O
就是/v	O
网络攻击/gi	O
武器/n	O
—/w	O
Stuxnet/nx	S-nthreat
震/vi	O
网/n	O
病毒/nvuldescribe	O
了/ule	O
（/w	O
卡巴斯基/gi	B-norg
实验室/nis	E-norg
的/ude1	O
研究/vn	O
人员/n	O
表示/v	O
，/w	O
攻击/vn	O
称之为/v	O
“/w	O
食/v	B-nevent
尸鬼/nr	M-nevent
行动/vn	E-nevent
”/w	O
 /w	O
（/w	O
Operation Ghoul/nx	S-nevent
）/w	O
。/w	O
ProjectSauron/nx	S-nthreat
最/d	O
令人/v	O
印象/n	O
新的/a	O
恶意/n	O
程序/n	O
被/pbei	O
称为/v	O
ProjectSauron/nx	S-nthreat
，/w	O
是/vshi	O
继/vg	O
Duqu/nx	S-nthreat
、/w	O
Flame/nx	S-nthreat
、/w	O
Equation/nx	S-nthreat
和/cc	O
Regin/nx	S-nthreat
之后/f	O
的/ude1	O
新/a	O
国家级/b	O
恶意/n	O
程序/n	O
。/w	O
“/w	O
匿名者/nz	S-nhack
”/w	O
已经/d	O
成功/a	O
攻击/vn	O
了/ule	O
KNRTU-KAI/nx	B-norg
量子中心/nt	E-norg
国际/n	O
黑客组织/prehack	O
“/w	O
匿名者/nz	S-nhack
”/w	O
(/w	O
Anonymous/nx	S-nhack
）/w	O
该/rz	O
组织/n	O
复杂度/nz	O
可以/v	O
与/cc	O
著名/a	O
的/ude1	O
方程式/n	S-nthreat
（/w	O
Equation/nx	S-nthreat
）/w	O
媲美/vi	O
。/w	O
该/rz	O
境外/s	O
APT/nx	O
组织/n	O
APT-C-16/nx	S-nhack
为/p	O
同一/b	O
组织/n	O
。/w	O
病毒/nvuldescribe	O
又名/n	O
Stuxnet/nx	S-nthreat
蠕虫/nvuldescribe	O
病毒/nvuldescribe	O
，/w	O
FireEye/nt	B-norg
公司/nis	E-norg
总结/v	O
过去/vf	O
15/m	O
年中/t	O
，/w	O
ICS/nproduct	B-nthreat
漏洞/n	E-nthreat
带来/v	O
的/ude1	O
经验/n	O
教训/n	O
DARPA/nx	S-norg
程序/n	O
主管/vn	O
Mike Walker/nx	S-nr
说/v	O
，/w	O
由/p	O
信息安全公司/n	O
Arbor Network/nx	S-norg
统计/vn	O
的/ude1	O
信息安全/gi	O
报告/n	O
，/w	O
比利时/ns	O
安全/an	O
信息/n	O
研究员/nnt	O
Arne Swinnen/nx	S-nr
报告/n	O
在/p	O
的/ude1	O
黑客组织/prehack	O
Hellsing/nx	S-nhack
，/w	O
Moker/nx	S-nhack
，/w	O
Shrouded Crossbow/nx	S-nhack
和/cc	O
Santa APT/nx	S-nhack
，/w	O
共计/v	O
40/m	O
个/q	O
威胁组织/n	O
。/w	O
并/cc	O
显示/v	O
Satana/nx	S-nthreat
的/ude1	O
勒索/v	O
信/n	O
。/w	O
Malwarebytes/nx	S-norg
的/ude1	O
安全/an	O
研究员/nnt	O
Hasherezade/nx	S-nr
表示/v	O
，/w	O
（/w	O
在/p	O
罗/b	O
曼斯/nrf	O
语/ng	O
中/f	O
意/ng	O
为/p	O
“/w	O
撒旦/ns	S-nthreat
”/w	O
）/w	O
，/w	O
它/rr	O
是/vshi	O
常见/a	O
勒索/v	O
软件/n	O
与/cc	O
Petya/nx	S-nthreat
的/ude1	O
混合体/nmc	O
。/w	O
该/rz	O
漏洞/n	O
已经/d	O
被/pbei	O
命名为/v	O
ThinkPwn/nx	S-nthreat
，/w	O
一旦/d	O
攻击者/nz	O
使用/v	O
ThinkPwn/nx	S-nthreat
开展/v	O
对设备/nt	O
的/ude1	O
攻击/vn	O
，/w	O
随后/d	O
黑客/n	O
通过/p	O
植入/v	O
Elirks/nx	S-nthreat
木马/nvuldescribe	O
后门/n	O
得到/v	O
此/rzs	O
电脑/n	O
访问/vn	O
权/n	O
。/w	O
并/cc	O
感染/v	O
了/ule	O
恶意木马/nvuldescribe	O
PlugX/nx	S-nthreat
(/w	O
Korplug/nx	S-nthreat
)/w	O
，/w	O
据/p	O
安全公司/nt	O
Cylance/nx	S-norg
分析/vn	O
，/w	O
日本/ns	O
最大/gm	O
的/ude1	O
旅游公司/nt	O
JTB Corp/nx	S-norg
称/v	O
，/w	O
网络安全/gi	O
方面/n	O
的/ude1	O
研究机构/nt	O
Ponemon Institute/nx	S-norg
发布/v	O
最新/a	O
报告/n	O
显示/v	O
，/w	O
受害者/n	O
遭受/v	O
到/v	O
Infy/nx	S-nthreat
恶意软件/gi	O
的/ude1	O
感染/v	O
，/w	O
Check Point/nx	S-norg
认为/v	O
HummingBad/nx	S-nthreat
和/cc	O
早先/t	O
发现/v	O
的/ude1	O
iOS/nproduct	O
恶意/n	O
程序/n	O
Yispecter/nx	S-nthreat
存在/v	O
联系/v	O
，/w	O
Yispecter/nx	S-nthreat
很/d	O
可能/v	O
也/d	O
是/vshi	O
HummingBad/nx	S-nthreat
背后/f	O
的/ude1	O
团队/n	O
开发/vn	O
的/ude1	O
。/w	O
该公司/nt	O
开发/vn	O
的/ude1	O
Android/nproduct	O
恶意/n	O
程序/n	O
命名为/v	O
HummingBad/nx	S-nthreat
，/w	O
根据/p	O
CyberEdge/nx	B-norg
集团/nis	E-norg
的/ude1	O
报告/n	O
显示/v	O
。/w	O
根据/p	O
本/rz	O
周二/t	O
由/p	O
FireEye/nt	B-norg
公司/nis	E-norg
旗下/d	O
Mandiant/nx	B-norg
事业部/nis	E-norg
发布/v	O
的/ude1	O
报告/n	O
显示/v	O
。/w	O
用户/n	O
近日/t	O
遭受/v	O
安全公司/nt	O
Avanan/nx	S-norg
表示/v	O
微软/ntc	S-norg
立即/d	O
采取/v	O
行动/vn	O
。/w	O
到/v	O
一/m	O
波/n	O
Cerber/nx	S-nthreat
勒索软件/n	O
的/ude1	O
攻击/vn	O
，/w	O
Cerber/nx	S-nthreat
包含/v	O
在/p	O
邮件/n	O
附件内/nt	O
。/w	O
被/pbei	O
称为/v	O
GODLESS/nx	S-nthreat
的/ude1	O
新/a	O
移动/vn	O
恶意/n	O
程序/n	O
家族/n	O
，/w	O
被/pbei	O
称为/v	O
RAA/nx	S-nthreat
的/ude1	O
勒索软件/n	O
主要/b	O
通过/p	O
电子邮件/gi	O
附件/n	O
的/ude1	O
形式/n	O
传播/vn	O
，/w	O
所以/c	O
卡巴斯基/gi	B-norg
实验室/nis	E-norg
已经/d	O
将/d	O
相关/vn	O
信息/n	O
报告/n	O
给/p	O
了/ule	O
微软/ntc	O
公司/nis	O
。/w	O
根据/p	O
俄罗斯/nsf	O
安全厂商/n	O
卡巴斯基/gi	B-norg
实验室/nis	E-norg
提供/v	O
的/ude1	O
信息/n	O
，/w	O
认为/v	O
具有/v	O
俄罗斯/nsf	O
政府/nis	O
背景/n	O
的/ude1	O
Fancy Bear/nx	S-nhack
和/cc	O
Cozy Bear APT/nx	S-nhack
组织/n	O
参与/v	O
了/ule	O
此次/rz	O
民主党全国委员会/nt	S-norg
，/w	O
另外/c	O
一家/n	O
安全公司/nt	O
Fidelis Cybersecurity/nx	S-norg
发布/v	O
声明/n	O
，/w	O
安全公司/nt	O
CrowdStrike/nx	S-norg
就/d	O
今年/t	O
4/m	O
月份/n	O
美国/nsf	O
民主党全国委员会/nt	O
服务器/n	O
遭受/v	O
入侵/v	O
事件/n	O
，/w	O
硬件/n	O
安全/an	O
专家/nnt	O
Damien Zammit/nx	S-nr
称/v	O
，/w	O
Facebook/nvendor	O
创始人/nnt	O
、/w	O
音乐家/nnt	O
Keith Richards/nx	S-nr
及/cc	O
Katy Perry/nx	S-nr
和/cc	O
Bon Iver/nx	S-nr
等/udeng	O
人/n	O
的/ude1	O
Twitter/nx	O
帐号/n	O
也/d	O
被/pbei	O
黑客/n	O
攻击/vn	O
了/ule	O
。/w	O
技术支持提供商/n	O
Zendesk/nx	S-norg
总裁/nnt	O
Mikkel Svane/nx	S-nr
的/ude1	O
Twitter/nx	O
账号/n	O
遭到/v	O
了/ule	O
黑客/n	O
的/ude1	O
攻击/vn	O
，/w	O
并/cc	O
向/p	O
企业/n	O
电脑/n	O
植入/v	O
了/ule	O
“/w	O
灵鼠/nr	S-nthreat
”/w	O
(/w	O
ghost rat/nx	S-nthreat
)/w	O
病毒/n	O
，/w	O
并/cc	O
向/p	O
企业/n	O
电脑/n	O
植入/v	O
了/ule	O
“/w	O
灵鼠/nr	S-nthreat
”/w	O
(/w	O
ghost rat/nx	S-nthreat
)/w	O
病毒/n	O
。/w	O
此后/t	O
利用/v	O
这些/rz	O
服务器/n	O
对/p	O
SK Networks/nx	B-norg
公司/nis	E-norg
和/cc	O
韩进重工/nt	O
等/udeng	O
企业/n	O
，/w	O
信息安全公司/n	O
Rapid7/nx	S-norg
近/a	O
期/qv	O
公布/v	O
了/ule	O
最/d	O
易/ad	O
遭受/v	O
黑客/n	O
攻击/vn	O
的/ude1	O
国家/n	O
该/rz	O
漏洞/n	O
由/p	O
腾讯/ntc	B-norg
玄武/nz	M-norg
实验室/nis	E-norg
创建者/n	O
于/p	O
旸/w	O
发现/v	O
，/w	O
并/cc	O
将/d	O
其/rz	O
命名为/v	O
“/w	O
BadTunnel/nx	S-nthreat
”/w	O
，/w	O
直接/ad	O
使用/v	O
一个/mq	O
名为/v	O
Skimmer/nx	S-nthreat
的/ude1	O
恶意软件/gi	O
攻击/v	O
ATM/nx	O
。/w	O
臭名昭著/nz	O
的/ude1	O
银行/nis	O
木马/nvuldescribe	O
程序/n	O
Tinba/nx	S-nthreat
出现/v	O
了/ule	O
新的/a	O
版本/n	O
，/w	O
曾/d	O
披露/v	O
一个/mq	O
基于/p	O
LATENTBOT/nx	S-nthreat
后门/n	O
木马/nvuldescribe	O
程序/n	O
的/ude1	O
僵尸/n	O
网络/n	O
。/w	O
网络安全公司/n	O
vira/nx	S-norg
研究/vn	O
人员/n	O
近期/t	O
发现/v	O
勒索软件/n	O
Locky/nx	S-nthreat
出现/v	O
新型/b	O
变种/n	O
Dresner Advisory Services/nx	B-norg
公司/nis	E-norg
发布/v	O
的/ude1	O
2017年/Date	O
物联网/nz	O
智能/n	O
市场/n	O
研究报告/v	O
显示/v	O
：/w	O
据/p	O
韩国/nsf	O
媒体/n	O
chosun biz/nx	S-norg
12/m	O
月/n	O
8/m	O
日/b	O
下午/t	O
报道/v	O
Crookservers/nx	B-norg
公司/nis	E-norg
曾/d	O
在/p	O
发现/v	O
相关/vn	O
恶意/n	O
活动/vn	O
。/w	O
俄罗斯/nsf	O
人脸/n	O
识别/vn	O
软件开发公司/nt	O
VisionLabs/nx	S-norg
创始人/nnt	O
和/cc	O
总经理/nnt	O
哈/b	B-nr
宁/ag	E-nr
认为/v	O
网络安全公司/n	O
CyberArk Labs/nx	S-norg
研究/vn	O
人员/n	O
，/w	O
俄罗斯/nsf	O
黑客组织/prehack	O
APT28/nx	S-nhack
在/p	O
英国/ns	O
注册企业/nt	O
IDC/nx	O
服务商/nnd	O
Crookservers/nx	S-norg
处/n	O
消费/vn	O
超过/v	O
6000/m	O
美元/q	O
美国/nsf	O
网络安全机构/n	O
Cybersecurity Ventures/nx	S-norg
于/p	O
近期/t	O
发布/v	O
一/m	O
份/q	O
报告/n	O
，/w	O
宣称/v	O
随着/p	O
近年来/dl	O
勒索软件/n	O
的/ude1	O
数量/n	O
以及/cc	O
攻击/vn	O
频率/n	O
的/ude1	O
不断/d	O
增加/v	O
网络安全公司/n	O
Corero/nx	S-norg
于/p	O
近期/t	O
发布/v	O
一/m	O
份/q	O
报告/n	O
，/w	O
全球/n	O
网络安全服务厂商/n	O
FireEye/nx	S-norg
称/v	O
，/w	O
2018年/Date	O
黑客/n	O
将/d	O
首次/mq	O
使用/v	O
人工智能/n	O
据/p	O
韩国/nsf	O
媒体/n	O
chosun biz/nx	S-norg
12/m	O
月/n	O
8/m	O
日/b	O
下午/t	O
报道/v	O
，/w	O
安全公司/nt	O
Check Point/nx	S-norg
最新/a	O
报告/n	O
《/w	B-nreport
全球/n	M-nreport
恶意软件/gi	M-nreport
威胁/vn	M-nreport
影响/vn	M-nreport
指数/n	M-nreport
》/w	E-nreport
在线/vn	O
公布/v	O
英国情报机构/nt	O
GCHQ/nx	S-norg
近期/t	O
透露/v	O
本国/rzs	O
已/d	O
制定/v	O
一/m	O
款/q	O
武器/n	O
，/w	O
网络安全公司/n	O
Cylance/nx	S-norg
在/p	O
美国/nsf	O
2017年/Date	B-nconference
黑帽/nz	M-nconference
大会/n	E-nconference
通过/p	O
调查/vn	O
发现/v	O
法国/nsf	O
公司/nis	O
Morpho/nx	S-norg
提供/v	O
代码/n	O
的/ude1	O
俄罗斯公司/nt	O
Papillon/nx	S-norg
与/cc	O
克林姆/nrf	O
宫/ng	O
存在/v	O
关联/vn	O
法国/nsf	O
身份/n	O
与/cc	O
安全公司/nt	O
Morpho/nx	S-norg
的/ude1	O
两/m	O
名/q	O
前/f	O
职员/nnt	O
爆料/v	O
，/w	O
其/rz	O
公司/nis	O
的/ude1	O
产品/n	O
——/w	O
另外/c	O
的/ude1	O
1.8万/m	O
个/q	O
美国执法机构/nt	O
使用/v	O
的/ude1	O
指纹/n	O
分析/vn	O
软件/n	O
——/w	O
中/f	O
包含/v	O
俄罗斯/nsf	O
公司/nis	O
Papillon/nx	S-norg
的/ude1	O
代码/n	O
。/w	O
基辅/nsf	O
网络安全企业/n	O
ISSP/nx	S-norg
公司/nis	O
取证/vn	O
分析师/nnt	O
aux/nx	S-nr
宣称/v	O
，/w	O
世界/n	O
知名/a	O
数字/n	O
谷歌母公司/nt	O
Alphabet/nx	B-norg
公司/nis	E-norg
CEO/nx	O
兼/v	O
五角大楼/n	O
国防/n	O
科技创新局/nt	O
主席/nnt	O
埃里克/nrf	S-nr
指出/v	O
，/w	O
监控/vn	O
和/cc	O
安全/an	O
技术/n	O
服务提供商/n	O
IC Realtime/nx	S-norg
就此/d	O
推出/v	O
了/ule	O
一/m	O
款/q	O
网络安全公司/n	O
LogRhythm/nx	S-norg
的/ude1	O
这项/r	O
调查/vn	O
显示/v	O
；/w	O
都是/nr	O
网络安全公司/n	O
LogRhythm/nx	S-norg
针对/p	O
美国/nsf	O
、/w	O
英国/ns	O
以及/cc	O
亚太地区/n	O
751/m	O
名/q	O
IT/nx	O
决策者/nnd	O
调查/vn	O
后/f	O
发现/v	O
，/w	O
基于/p	O
云端/n	O
技术/n	O
以及/cc	O
人工智能/n	O
的/ude1	O
搜索引擎/n	O
Ella/nx	O
，/w	O
电子前沿基金会/nt	O
Frontier Foundation/nx	S-norg
和/cc	O
安全公司/nt	O
Lookout/nx	S-norg
联合/vd	O
调查/vn	O
发现/v	O
与/cc	O
黎巴嫩总安全局/nt	O
有关/vn	O
的/ude1	O
监控/vn	O
间谍/nnt	O
活动/vn	O
网络安全公司/n	O
Flashpoint/nx	S-norg
发布/v	O
报告/n	O
指出/v	O
工业/n	O
网络安全厂商/n	O
Dragos/nx	B-norg
公司/nis	E-norg
3/m	O
月/n	O
1/m	O
日/b	O
发布/v	O
国外公司/n	O
Spiceworks/nx	S-norg
近期/t	O
发布/v	O
网络安全企业/n	O
Trend Micro/nx	B-norg
公司/nis	E-norg
最新/a	O
发布/v	O
，/w	O
网络安全公司/n	O
UpGuard/nx	S-norg
最近/t	O
发现/v	O
，/w	O
加拿大政治数据公司/nt	O
AggregateIQ/nx	S-norg
（/w	O
AIQ/nx	S-norg
）/w	O
一个/mq	O
大型/b	O
代码/n	O
库/n	O
暴露/v	O
在/p	O
网上/s	O
，/w	O
卡巴斯基/gi	B-norg
实验室/nis	E-norg
3/m	O
月/n	O
26/m	O
日/b	O
发布/v	O
报告/n	O
，/w	O
网络安全公司/n	O
RecordedFuture/nx	S-norg
的/ude1	O
威胁/vn	O
研究/vn	O
小组/nis	O
发布/v	O
的/ude1	O
动态/n	O
。/w	O
以色列/nsf	O
网络安全公司/n	O
Check Point/nx	S-norg
在/p	O
其/rz	O
发布/v	O
的/ude1	O
技术/n	O
报告/n	O
中/f	O
表示/v	O
，/w	O
Netskope/nx	B-norg
威胁/vn	M-norg
研究/vn	M-norg
实验室/nis	E-norg
发现/v	O
了/ule	O
。/w	O
Customer Insights and Analysis/nx	B-norg
公司/nis	E-norg
项目/n	O
总监/nnt	O
linda/nx	S-nr
表示/v	O
，/w	O
网络安全公司/n	O
Cybereason/nx	S-norg
在/p	O
本/rz	O
周三/t	O
发文/vi	O
称/v	O
，/w	O
据/p	O
美国科技博客/n	O
Gizmodo/nx	S-norg
报道/v	O
，/w	O
Dragos/nx	B-norg
公司/nis	E-norg
目前/t	O
正在/d	O
持续/vd	O
追踪/v	O
，/w	O
大数据公司/nt	O
Palantir/nx	S-norg
在/p	O
美国/nsf	O
南部/f	O
，/w	O
其/rz	O
安全承包商/n	O
Cellebrite/nx	B-norg
公司/nis	E-norg
宣称/v	O
，/w	O
据/p	O
外媒/n	O
TheNextWeb/nx	S-norg
报道/v	O
，/w	O
安全公司/nt	O
CrowdStrike/nx	S-norg
发现/v	O
了/ule	O
一/m	O
款/q	O
名为/v	O
WannaMine/nx	S-nthreat
的/ude1	O
蠕虫/nvuldescribe	O
韩国安全公司/nt	O
Hauri Inc/nx	S-norg
的/ude1	O
研究员/nnt	O
Simon Choi/nx	S-nr
表示/v	O
，/w	O
俄罗斯/nsf	O
安全公司/nt	O
卡巴斯基/gi	B-norg
实验室/nis	E-norg
上周/t	O
三/m	O
发布/v	O
的/ude1	O
一/m	O
份/q	O
安全/an	O
报告/n	O
称/v	O
，/w	O
如/v	O
最近/t	O
解决/v	O
的/ude1	O
Sudo/nx	B-nthreat
漏洞/nvuldescribe	E-nthreat
，/w	O
安全厂商/n	O
Qualys/nx	S-norg
研究/vn	O
人员/n	O
近期/t	O
发现/v	O
，/w	O
Linux/nproduct	O
易受/nz	O
一个/mq	O
本地/rzs	O
权限/n	O
升级/vi	O
漏洞/nvuldescribe	O
“/w	O
Stack Clash/nx	S-nthreat
”/w	O
的/ude1	O
影响/vn	O
，/w	O
上月/t	O
鉴于/p	O
肆虐/v	O
全球/n	O
的/ude1	O
WannaCry/nx	S-nthreat
勒索/v	O
病毒/nvulndesc	O
，/w	O
UpGuard/nx	B-norg
公司/nis	E-norg
的/ude1	O
网络风险小组/nt	O
根据/p	O
Distil Networks/nx	B-norg
公司/nis	E-norg
的/ude1	O
统计/vn	O
结果/n	O
显示/v	O
，/w	O
Darktrace/nx	B-norg
公司/nis	E-norg
 /w	O
技术/n	O
总监/nnt	O
Dave Palmer/nx	S-nr
表示/v	O
，/w	O
华威大学/nt	O
网络安全/gi	O
研究/vn	O
主任/nnt	O
Carsten Maple/nx	S-nr
表示/v	O
：/w	O
Nelson/nx	S-nr
发现/v	O
默认/v	O
权限/n	O
存在/v	O
漏洞/nvuldescribe	O
,/w	O
来自/v	O
安全公司/nt	O
ZeroFOX/nx	S-norg
的/ude1	O
两/m	O
位/q	O
科学家/nnt	O
进行/vn	O
了/ule	O
实验/vn	O
，/w	O
CIA/nx	S-norg
技术/n	O
开发/vn	O
副主任/nnt	O
Dawn Meyerriecks/nx	S-nr
在/p	O
情报/n	O
峰会/n	O
上/f	O
发表声明/v	O
，/w	O
黑客组织/prehack	O
“/w	B-nhack
蜻蜓/n	M-nhack
”/w	E-nhack
的/ude1	O
攻击/vn	O
升级/vi	O
。/w	O
“/w	O
蜻蜓/n	S-nhack
”/w	O
有/vyou	O
能力/n	O
。/w	O
蓝牙/n	O
受/v	O
“/w	O
BlueBorne/nx	S-nthreat
”/w	O
攻击/vn	O
影响/vn	O
；/w	O
网络安全公司/n	O
Palo Alto Networks/nx	S-norg
研究/vn	O
人员/n	O
发现/v	O
黑客组织/prehack	O
正/d	O
利用/v	O
一/m	O
款/q	O
恶意软件/gi	O
Babar/nx	S-nthreat
新/a	O
变种/n	O
；/w	O
且/c	O
漏洞/nvuldescribe	O
工具/n	O
“/w	O
BlueBorne/nx	S-nthreat
”/w	O
已/d	O
公布/v	O
，/w	O
美国知名征信机构/nt	O
Equifax/nx	S-norg
被/pbei	O
数据/n	O
泄露/v	O
事件/n	O
困扰/v	O
，/w	O
网络安全公司/n	O
SyfLabs/nx	S-norg
研究/vn	O
人员/n	O
近期/t	O
发现/v	O
一/m	O
款/q	O
新型/b	O
Android/nproduct	O
银行/nis	O
恶意软件/gi	O
Red Alert/nx	S-nthreat
2.0/m	O
，/w	O
来自/v	O
网络安全厂商/n	O
Positive Technologies/nx	S-norg
公司/nis	O
的/ude1	O
研究/vn	O
人员/n	O
，/w	O
电信/n	O
厂商/nnd	O
Mavenir/nx	B-norg
公司/nis	E-norg
主管/vn	O
Mark Windle/nx	S-nr
（/w	O
马克/n	B-nr
·/w	M-nr
温德尔/nrf	E-nr
）/w	O
解释/v	O
称/v	O
，/w	O
要求/n	O
国土/n	O
安全/an	O
秘书长/nnt	O
的/ude1	O
John Kelly/nx	S-nr
要求/n	O
调查/vn	O
SS7/nx	B-nthreat
安全漏洞/nvuldescribe	E-nthreat
。/w	O
Cymmetria/nx	B-norg
公司/nis	E-norg
首席/n	O
执行官/nnt	O
Gadi Evron/nx	S-nr
和/cc	O
ClearSky/nx	B-norg
公司/nis	E-norg
首席/n	O
执行官/nnt	O
Boaz Dolev/nx	S-nr
共同/d	O
撰文/vi	O
分析/vn	O
美国/nsf	O
是否/v	O
会/v	O
朝鲜/nsf	O
发动/v	O
网络攻击/gi	O
。/w	O
安全公司/nt	O
Skyhigh Networks/nx	S-norg
的/ude1	O
统计/vn	O
数据/n	O
显示/v	O
，/w	O
9/m	O
月/n	O
27/m	O
日/b	O
讯/ng	O
Avast/nx	B-norg
公司/nis	E-norg
公布/v	O
了/ule	O
四/m	O
个/q	O
ISIS/nproduct	O
黑客组织/prehack	O
具体/a	O
任务/n	O
分析/vn	O
：/w	O
Caliphate Cyber Army/nx	S-nhack
主要/b	O
负责/v	O
污损/nz	O
攻击/vn	O
；/w	O
Islamic State Hacking DivisionISIS/nx	S-nhack
黑客/n	O
部队/nis	O
；/w	O
第三波/nz	O
为/p	O	
伊斯兰/nsf	B-nhack
网络/n	M-nhack
军/n	E-nhack
（/w	O
Islamic Cyber Army/nx	S-nhack
）/w	O
，/w	O
网络安全公司/n	O
Synack/nx	S-norg
的/ude1	O
首席/n	O
安全/an	O
研究员/nnt	O
Patrick Wardle/nx	S-nr
发表/v	O
了/ule	O
成果/n	O
，/w	O
知名/a	O
互联网安全厂商/n	O
Cloudflare/nx	S-norg
宣布/v	O
修复/v	O
影响/vn	O
安装/v	O
的/ude1	O
SAP POS/nx	B-nthreat
漏洞/nvuldescribe	E-nthreat
，/w	O
远程/nvulndesc	O
Web/nx	O
服务器/n	O
的/ude1	O
一/m	O
款/q	O
Android/nproduct	O
恶意程序/n	O
，/w	O
名为/v	O
“/w	O
摩天大楼/n	S-nthreat
”/w	O
（/w	O
HighRise/nx	S-nthreat
）/w	O
，/w	O
Proofpoint/nx	S-norg
安全/an	O
研究/vn	O
人员/n	O
发现/v	O
恶意软件/gi	O
Ovidiy Stealer7/nx	S-nthreat
在/p	O
以/p	O
俄语/n	O
为主/vi	O
；/w	O
安全公司/nt	O
ERPScan/nx	S-norg
专家/nnt	O
与/cc	O
安全公司/nt	O
Preempt/nx	S-norg
专家/nnt	O
发现/v	O
：/w	O
德国/nsf	O
安全/an	O
研究/vn	O
人员/n	O
Nils Dagsson Moskopp/nx	S-nr
近期/t	O
发现/v	O
，/w	O
将/d	O
解决/v	O
PowerShell/nx	B-nthreat
漏洞/nvuldescribe	E-nthreat
，/w	O
以及/cc	O
代码/n	O
注入/v	O
漏洞/nvuldescribe	O
Bad Taste/nx	S-nthreat
（/w	O
CVE-2017-11421/CVE	O
）/w	O
俄罗斯科技/nt	O
巨头/n	O
Yandex/nx	S-norg
技术/n	O
总监/nnt	O
Grigory Bakunov/nx	S-nr
近期/t	O
公开/ad	O
表示/v	O
，/w	O
数字安全公司/nt	O
Econocom/nx	S-norg
研究/vn	O
人员/n	O
Damien Cauquil/nx	S-nr
近期/t	O
在/p	O
国家杜马/nz	O
信息/n	O
政策委员会/nt	O
负责人/nnt	O
Leonid Levin/nx	S-nr
称/v	O
，/w	O
据/p	O
Rapid7/nx	B-norg
实验室/nis	E-norg
最近/t	O
发布/v	O
的/ude1	O
报告/n	O
显示/v	O
，/w	O
RDP/nx	O
协议/n	O
的/ude1	O
Esteemaudit/nx	B-nthreat
漏洞/nvuldescribe	E-nthreat
，/w	O
卡巴斯基/gi	B-norg
实验室/nis	E-norg
（/w	O
Kaspersky Lab/nx	S-norg
）/w	O
研究/vn	O
人员/n	O
近期/t	O
发现/v	O
勒索软件/nvuldescribe	O
Mamba/nx	S-norg
卷土重来/vl	O
，/w	O
云安全/gi	O
服务提供商/n	O
Alert Logic/nx	S-norg
发布/v	O
的/ude1	O
云安全/gi	O
报告/n	O
显示/v	O
，/w	O
项目/n	O
的/ude1	O
Kolos/nx	B-norg
公司/nis	E-norg
表示/v	O
，/w	O
近期/t	O
在/p	O
勒索软件/nvuldescribe	O
WannaCry/nx	S-nthreat
与/cc	O
NotPetya/nx	B-nevent
攻击/vn	E-nevent
事件/n	M-nevent
中/f	O
普遍/ad	O
遭受/v	O
影响/vn	O
 /w	O
网络安全公司/n	O
Palo Alto Networks/nx	S-norg
研究/vn	O
人员/n	O
近期/t	O
发现/v	O
朝鲜/nsf	O
APT组织/prehack	O
Lazarus/nx	S-nhack
瞄准/v	O
美国/nsf	O
